"Census","School Name","Category","Year Level","Students"
"14 February 2025","Canberra Christian School","Non Gov","Year 5","25"
"14 February 2025","Canberra Christian School","Non Gov","Preschool","20"
"14 February 2025","Canberra Christian School","Non Gov","Kindergarten","32"
"14 February 2025","Canberra Christian School","Non Gov","Year 1","26"
"14 February 2025","Canberra Christian School","Non Gov","Year 2","41"
"14 February 2025","Canberra Christian School","Non Gov","Year 3","39"
"14 February 2025","Canberra Christian School","Non Gov","Year 4","24"
"14 February 2025","Canberra Christian School","Non Gov","year 6","28"
"14 February 2025","Canberra College, The","Gov","Year 12","546"
"14 February 2025","Canberra College, The","Gov","Mature","48"
"14 February 2025","Canberra College, The","Gov","Mature","29"
"14 February 2025","Canberra College, The","Gov","Year 11","585"
"14 February 2025","Canberra Girls Grammar School","Non Gov","Preschool","159"
"14 February 2025","Canberra Girls Grammar School","Non Gov","Kindergarten","88"
"14 February 2025","Canberra Girls Grammar School","Non Gov","Year 1","66"
"14 February 2025","Canberra Girls Grammar School","Non Gov","Year 2","63"
"14 February 2025","Canberra Girls Grammar School","Non Gov","Year 3","65"
"14 February 2025","Canberra Girls Grammar School","Non Gov","Year 4","73"
"14 February 2025","Canberra Girls Grammar School","Non Gov","Year 5","78"
"14 February 2025","Canberra Girls Grammar School","Non Gov","year 6","75"
"14 February 2025","Canberra Girls Grammar School","Non Gov","Year 7","137"
"14 February 2025","Canberra Girls Grammar School","Non Gov","Year 8","116"
"14 February 2025","Canberra Girls Grammar School","Non Gov","Year 9","112"
"14 February 2025","Canberra Girls Grammar School","Non Gov","Year 10","115"
"14 February 2025","Canberra Girls Grammar School","Non Gov","Year 11","97"
"14 February 2025","Canberra Girls Grammar School","Non Gov","Year 12","120"
"14 February 2025","Canberra Grammar School","Non Gov","Year 2","90"
"14 February 2025","Canberra Grammar School","Non Gov","Year 3","119"
"14 February 2025","Canberra Grammar School","Non Gov","Year 4","116"
"14 February 2025","Canberra Grammar School","Non Gov","Year 5","139"
"14 February 2025","Canberra Grammar School","Non Gov","year 6","144"
"14 February 2025","Canberra Grammar School","Non Gov","Year 7","214"
"14 February 2025","Canberra Grammar School","Non Gov","Year 8","220"
"14 February 2025","Canberra Grammar School","Non Gov","Year 9","229"
"14 February 2025","Canberra Grammar School","Non Gov","Year 10","226"
"14 February 2025","Canberra Grammar School","Non Gov","Year 11","216"
"14 February 2025","Canberra Grammar School","Non Gov","Year 12","216"
"14 February 2025","Canberra Grammar School","Non Gov","Year 1","96"
"14 February 2025","Canberra Grammar School","Non Gov","Kindergarten","89"
"14 February 2025","Canberra Grammar School","Non Gov","Preschool","108"
"14 February 2025","Canberra High School","Gov","Year 10","233"
"14 February 2025","Canberra High School","Gov","Year 7","226"
"14 February 2025","Canberra High School","Gov","Year 8","210"
"14 February 2025","Canberra High School","Gov","Year 9","220"
"14 February 2025","Canberra Montessori School","Non Gov","Year 3","16"
"14 February 2025","Canberra Montessori School","Non Gov","year 6","2"
"14 February 2025","Canberra Montessori School","Non Gov","Year 5","10"
"14 February 2025","Canberra Montessori School","Non Gov","Year 4","7"
"14 February 2025","Canberra Montessori School","Non Gov","Year 2","17"
"14 February 2025","Canberra Montessori School","Non Gov","Year 1","16"
"14 February 2025","Canberra Montessori School","Non Gov","Kindergarten","24"
"14 February 2025","Canberra Montessori School","Non Gov","Preschool","25"
"14 February 2025","Caroline Chisholm School","Gov","Kindergarten","25"
"14 February 2025","Caroline Chisholm School","Gov","Year 7","79"
"14 February 2025","Caroline Chisholm School","Gov","Year 8","110"
"14 February 2025","Caroline Chisholm School","Gov","Year 9","89"
"14 February 2025","Caroline Chisholm School","Gov","Year 10","93"
"14 February 2025","Caroline Chisholm School","Gov","Year 6","33"
"14 February 2025","Caroline Chisholm School","Gov","Preschool","12"
"14 February 2025","Caroline Chisholm School","Gov","Year 5","42"
"14 February 2025","Caroline Chisholm School","Gov","Year 4","24"
"14 February 2025","Caroline Chisholm School","Gov","Year 3","26"
"14 February 2025","Caroline Chisholm School","Gov","Year 2","28"
"14 February 2025","Caroline Chisholm School","Gov","Year 1","24"
"14 February 2025","Chapman Primary School","Gov","Year 1","70"
"14 February 2025","Chapman Primary School","Gov","Year 6","60"
"14 February 2025","Chapman Primary School","Gov","Year 5","76"
"14 February 2025","Chapman Primary School","Gov","Year 4","76"
"14 February 2025","Chapman Primary School","Gov","Year 3","84"
"14 February 2025","Chapman Primary School","Gov","Year 2","79"
"14 February 2025","Chapman Primary School","Gov","Kindergarten","68"
"14 February 2025","Chapman Primary School","Gov","Preschool","80"
"14 February 2025","Charles Conder Primary School","Gov","Year 1","66"
"14 February 2025","Charles Conder Primary School","Gov","Kindergarten","74"
"14 February 2025","Charles Conder Primary School","Gov","Preschool","82"
"14 February 2025","Charles Conder Primary School","Gov","Year 6","58"
"14 February 2025","Charles Conder Primary School","Gov","Year 5","69"
"14 February 2025","Charles Conder Primary School","Gov","Year 4","66"
"14 February 2025","Charles Conder Primary School","Gov","Year 3","60"
"14 February 2025","Charles Conder Primary School","Gov","Year 2","53"
"14 February 2025","Charles Weston School","Gov","Year 1","55"
"14 February 2025","Charles Weston School","Gov","Kindergarten","88"
"14 February 2025","Charles Weston School","Gov","Preschool","82"
"14 February 2025","Charles Weston School","Gov","Year 6","67"
"14 February 2025","Charles Weston School","Gov","Year 5","66"
"14 February 2025","Charles Weston School","Gov","Year 4","51"
"14 February 2025","Charles Weston School","Gov","Year 3","79"
"14 February 2025","Charles Weston School","Gov","Year 2","72"
"14 February 2025","Charnwood-Dunlop School","Gov","Year 1","43"
