"Census","School Name","Category","Year Level","Students"
"14 February 2025","Holy Trinity Primary School","Non Gov","Preschool","57"
"14 February 2025","Holy Trinity Primary School","Non Gov","year 6","52"
"14 February 2025","Holy Trinity Primary School","Non Gov","Year 5","48"
"14 February 2025","Holy Trinity Primary School","Non Gov","Year 3","52"
"14 February 2025","Hughes Primary School","Gov","Year 3","86"
"14 February 2025","Hughes Primary School","Gov","Year 6","64"
"14 February 2025","Hughes Primary School","Gov","Year 5","66"
"14 February 2025","Hughes Primary School","Gov","Year 4","67"
"14 February 2025","Hughes Primary School","Gov","Year 2","61"
"14 February 2025","Hughes Primary School","Gov","Year 1","54"
"14 February 2025","Hughes Primary School","Gov","Kindergarten","59"
"14 February 2025","Hughes Primary School","Gov","Preschool","42"
"14 February 2025","Isabella Plains Early Childhood School","Gov","Preschool","39"
"14 February 2025","Isabella Plains Early Childhood School","Gov","Kindergarten","34"
"14 February 2025","Isabella Plains Early Childhood School","Gov","Year 1","16"
"14 February 2025","Isabella Plains Early Childhood School","Gov","Year 2","19"
"14 February 2025","Islamic School of Canberra","Non Gov","year 6","30"
"14 February 2025","Islamic School of Canberra","Non Gov","Year 11","18"
"14 February 2025","Islamic School of Canberra","Non Gov","Year 8","28"
"14 February 2025","Islamic School of Canberra","Non Gov","Year 7","45"
"14 February 2025","Islamic School of Canberra","Non Gov","Year 9","42"
"14 February 2025","Islamic School of Canberra","Non Gov","Year 10","21"
"14 February 2025","Islamic School of Canberra","Non Gov","Year 2","39"
"14 February 2025","Islamic School of Canberra","Non Gov","Year 3","56"
"14 February 2025","Islamic School of Canberra","Non Gov","Year 4","48"
"14 February 2025","Islamic School of Canberra","Non Gov","Year 5","40"
"14 February 2025","Islamic School of Canberra","Non Gov","Kindergarten","29"
"14 February 2025","Islamic School of Canberra","Non Gov","Year 1","41"
"14 February 2025","Jervis Bay School","Gov","Kindergarten","10"
"14 February 2025","Jervis Bay School","Gov","Preschool","19"
"14 February 2025","Jervis Bay School","Gov","Preschool","11"
"14 February 2025","Jervis Bay School","Gov","Year 3","8"
"14 February 2025","Jervis Bay School","Gov","Year 4","6"
"14 February 2025","Jervis Bay School","Gov","Year 5","11"
"14 February 2025","Jervis Bay School","Gov","Year 6","5"
"14 February 2025","Jervis Bay School","Gov","Year 2","10"
"14 February 2025","Jervis Bay School","Gov","Year 1","10"
"14 February 2025","Kaleen Primary School","Gov","Year 6","65"
"14 February 2025","Kaleen Primary School","Gov","Year 4","49"
"14 February 2025","Kaleen Primary School","Gov","Year 3","60"
"14 February 2025","Kaleen Primary School","Gov","Year 2","58"
"14 February 2025","Kaleen Primary School","Gov","Year 1","47"
"14 February 2025","Kaleen Primary School","Gov","Kindergarten","51"
"14 February 2025","Kaleen Primary School","Gov","Preschool","43"
"14 February 2025","Kaleen Primary School","Gov","Year 5","67"
"14 February 2025","Kingsford Smith School","Gov","Preschool","64"
"14 February 2025","Kingsford Smith School","Gov","Kindergarten","51"
"14 February 2025","Kingsford Smith School","Gov","Year 1","40"
"14 February 2025","Kingsford Smith School","Gov","Year 2","47"
"14 February 2025","Kingsford Smith School","Gov","Year 5","36"
"14 February 2025","Kingsford Smith School","Gov","Year 3","41"
"14 February 2025","Kingsford Smith School","Gov","Year 6","47"
"14 February 2025","Kingsford Smith School","Gov","Year 7","89"
"14 February 2025","Kingsford Smith School","Gov","Year 8","99"
"14 February 2025","Kingsford Smith School","Gov","Year 4","53"
"14 February 2025","Kingsford Smith School","Gov","Year 9","104"
"14 February 2025","Kingsford Smith School","Gov","Year 10","125"
"14 February 2025","Koori Preschool","Gov","Preschool","26"
"14 February 2025","Koori Preschool","Gov","Preschool","91"
"14 February 2025","Lake Tuggeranong College","Gov","Year 11","368"
"14 February 2025","Lake Tuggeranong College","Gov","Year 12","292"
"14 February 2025","Lanyon High School","Gov","Year 7","159"
"14 February 2025","Lanyon High School","Gov","Year 8","106"
