"School","SA1","No. of Students"
"Gold Creek School","80104104609","9"
"Gold Creek School","80104104621","9"
"Gold Creek School","80104104627","9"
"Gold Creek School","80104104803","9"
"Gold Creek School","10106154225","10"
"Gold Creek School","80104104602","10"
"Gold Creek School","80104104719","10"
"Gold Creek School","80104104805","10"
"Gold Creek School","80104103615","11"
"Gold Creek School","80104104618","11"
"Gold Creek School","80104104620","11"
"Gold Creek School","80104104628","11"
"Gold Creek School","80104104634","11"
"Gold Creek School","80104103605","12"
"Gold Creek School","80104104626","12"
"Gold Creek School","80104104637","12"
"Gold Creek School","80104104636","13"
"Gold Creek School","80104104703","13"
"Gold Creek School","80104104715","13"
"Gold Creek School","80104104617","14"
"Gold Creek School","80104103607","15"
"Gold Creek School","80104103610","15"
"Gold Creek School","80104104623","15"
"Gold Creek School","80104104625","15"
"Gold Creek School","80104104708","15"
"Gold Creek School","80104104802","15"
"Gold Creek School","80104104704","16"
"Gold Creek School","80104104705","16"
"Gold Creek School","80104104717","16"
"Gold Creek School","80104104718","16"
"Gold Creek School","80104104622","17"
"Gold Creek School","80104104711","17"
"Gold Creek School","80104104606","18"
"Gold Creek School","80104103611","19"
"Gold Creek School","80104103614","19"
"Gold Creek School","80104103606","21"
"Gold Creek School","80104104630","21"
"Gold Creek School","80104104706","21"
"Gold Creek School","80104103604","22"
"Gold Creek School","80104103613","22"
"Gold Creek School","80104104710","24"
"Gold Creek School","80104104712","26"
"Gold Creek School","80104103609","27"
"Gold Creek School","80104103617","29"
"Gold Creek School","80104104716","29"
"Gold Creek School","80104103616","34"
"Gold Creek School","80104103608","39"
"Gold Creek School","80104104713","40"
"Gold Creek School","80104103601","44"
"Gordon Primary School","80107107505","5"
"Gordon Primary School","80107107814","5"
"Gordon Primary School","80107107817","5"
"Gordon Primary School","80107107108","6"
"Gordon Primary School","80107107510","6"
"Gordon Primary School","80107107106","7"
"Gordon Primary School","80107107113","7"
"Gordon Primary School","80107107819","7"
"Gordon Primary School","80107107107","8"
"Gordon Primary School","80107107503","9"
"Gordon Primary School","80107107804","9"
"Gordon Primary School","80107107807","9"
"Gordon Primary School","80107107812","9"
"Gordon Primary School","80107107808","10"
"Gordon Primary School","80107107815","10"
"Gordon Primary School","80107107816","10"
"Gordon Primary School","80107107813","11"
"Gordon Primary School","80107107502","12"
"Gordon Primary School","80107107102","13"
"Gordon Primary School","80107107805","13"
"Gordon Primary School","80107107821","14"
"Gordon Primary School","80107107802","15"
"Gordon Primary School","80107107820","15"
"Gordon Primary School","80107107112","16"
"Gordon Primary School","80107107110","21"
"Gordon Primary School","80107107516","24"
"Gordon Primary School","80107107803","24"
"Gordon Primary School","80107107806","25"
"Gordon Primary School","80107107801","28"
"Gordon Primary School","80107107810","28"
"Gordon Primary School","80107107811","37"
"Gowrie Primary School","80107107311","5"
"Gowrie Primary School","80107107409","5"
"Gowrie Primary School","80107107701","5"
"Gowrie Primary School","80107107706","5"
"Gowrie Primary School","80107107908","5"
"Gowrie Primary School","80107108707","5"
"Gowrie Primary School","80107107404","6"
"Gowrie Primary School","80107108701","6"
"Gowrie Primary School","80107108702","6"
"Gowrie Primary School","80107107901","7"
"Gowrie Primary School","80107107405","9"
"Gowrie Primary School","80107107407","9"
"Gowrie Primary School","80107107902","10"
"Gowrie Primary School","80107107907","10"
"Gowrie Primary School","80107107903","13"
"Gowrie Primary School","80107107906","15"
"Gowrie Primary School","80107107905","16"
"Gowrie Primary School","80107107909","17"
"Gungahlin College","10106154225","5"
"Gungahlin College","80101101101","5"
"Gungahlin College","80104103403","5"
"Gungahlin College","80104103413","5"
"Gungahlin College","80104103507","5"
"Gungahlin College","80104103514","5"
"Gungahlin College","80104103515","5"
"Gungahlin College","80104103517","5"
"Gungahlin College","80104103711","5"
"Gungahlin College","80104103805","5"
"Gungahlin College","80104103907","5"
"Gungahlin College","80104103910","5"
"Gungahlin College","80104103912","5"
"Gungahlin College","80104103923","5"
"Gungahlin College","80104104017","5"
"Gungahlin College","80104104401","5"
"Gungahlin College","80104104411","5"
"Gungahlin College","80104104601","5"
"Gungahlin College","80104104602","5"
"Gungahlin College","80104104607","5"
"Gungahlin College","80104104614","5"
"Gungahlin College","80104104617","5"
"Gungahlin College","80104104618","5"
"Gungahlin College","80104104620","5"
"Gungahlin College","80104104623","5"
"Gungahlin College","80104104625","5"
"Gungahlin College","80104104627","5"
"Gungahlin College","80104104635","5"
"Gungahlin College","80104104637","5"
"Gungahlin College","80104104710","5"
"Gungahlin College","80104104716","5"
"Gungahlin College","80104103407","6"
"Gungahlin College","80104103506","6"
"Gungahlin College","80104103508","6"
"Gungahlin College","80104103511","6"
"Gungahlin College","80104103520","6"
"Gungahlin College","80104103616","6"
"Gungahlin College","80104103704","6"
"Gungahlin College","80104103807","6"
"Gungahlin College","80104104005","6"
"Gungahlin College","80104104006","6"
"Gungahlin College","80104104405","6"
"Gungahlin College","80104104412","6"
"Gungahlin College","80104104413","6"
"Gungahlin College","80104104426","6"
"Gungahlin College","80104104622","6"
"Gungahlin College","80104104630","6"
"Gungahlin College","80104104636","6"
"Gungahlin College","80104104705","6"
"Gungahlin College","80104104711","6"
"Gungahlin College","80104104713","6"
"Gungahlin College","80104104805","6"
"Gungahlin College","80104103501","7"
"Gungahlin College","80104103522","7"
"Gungahlin College","80104103604","7"
"Gungahlin College","80104103808","7"
"Gungahlin College","80104104019","7"
"Gungahlin College","80104104606","7"
"Gungahlin College","80104104715","7"
"Gungahlin College","80104104719","7"
"Gungahlin College","80104104801","7"
"Gungahlin College","80104104809","7"
"Gungahlin College","80104104814","7"
"Gungahlin College","80104103404","8"
"Gungahlin College","80104103405","8"
"Gungahlin College","80104103414","8"
"Gungahlin College","80104103513","8"
"Gungahlin College","80104103809","8"
"Gungahlin College","80104103812","8"
"Gungahlin College","80104103922","8"
"Gungahlin College","80104103924","8"
"Gungahlin College","80104104015","8"
"Gungahlin College","80104104026","8"
"Gungahlin College","80104104414","8"
"Gungahlin College","80104104613","8"
"Gungahlin College","80104104802","8"
"Gungahlin College","80104104807","8"
"Gungahlin College","80104104810","8"
"Gungahlin College","80104104812","8"
"Gungahlin College","80104103411","9"
"Gungahlin College","80104103509","9"
"Gungahlin College","80104103510","9"
"Gungahlin College","80104103519","9"
"Gungahlin College","80104103815","9"
"Gungahlin College","80104104404","9"
"Gungahlin College","80104104609","9"
"Gungahlin College","80104104619","9"
"Gungahlin College","80104104621","9"
"Gungahlin College","80104104703","9"
"Gungahlin College","80104104706","9"
"Gungahlin College","80104111801","9"
"Gungahlin College","80104103512","10"
"Gungahlin College","80104103601","10"
"Gungahlin College","80104103927","10"
"Gungahlin College","80104104001","10"
"Gungahlin College","80104104007","10"
"Gungahlin College","80104103401","11"
"Gungahlin College","80104103408","11"
"Gungahlin College","80104103608","11"
"Gungahlin College","80104103412","14"
"Gungahlin College","80104104008","15"
"Gungahlin College","80104103410","23"
"Harrison School","10106154217","5"
"Harrison School","80101102105","5"
"Harrison School","80104103511","5"
"Harrison School","80104103804","5"
"Harrison School","80104103921","5"
"Harrison School","80104104027","5"
"Harrison School","80104104602","5"
"Harrison School","80104103810","6"
"Harrison School","80104103918","6"
"Harrison School","80104104014","6"
"Harrison School","80104103714","7"
"Harrison School","80104103806","7"
"Harrison School","80104104022","7"
"Harrison School","80104103708","8"
"Harrison School","80104104002","8"
"Harrison School","80104104410","8"
"Harrison School","80104103919","9"
"Harrison School","80104103505","10"
"Harrison School","80104103916","10"
"Harrison School","80104104421","10"
"Harrison School","80104103809","11"
"Harrison School","80104103815","11"
"Harrison School","80104103907","11"
"Harrison School","80104104019","11"
"Harrison School","80104103908","13"
"Harrison School","80104104024","13"
"Harrison School","80104103814","16"
"Harrison School","80104103808","17"
"Harrison School","80104103813","17"
"Harrison School","80104103915","17"
"Harrison School","80104103909","18"
"Harrison School","80104103910","20"
"Harrison School","80104103922","20"
"Harrison School","80104104025","20"
"Harrison School","80104104415","20"
"Harrison School","80104103914","21"
"Harrison School","80104103925","22"
"Harrison School","80104104015","22"
"Harrison School","80104104420","23"
"Harrison School","80104104417","24"
"Harrison School","80104104423","24"
"Harrison School","80104104013","25"
"Harrison School","80104104412","25"
"Harrison School","80104104426","25"
"Harrison School","80104104006","27"
"Harrison School","80104103912","29"
"Harrison School","80104104017","29"
"Harrison School","80104104026","29"
"Harrison School","80104103924","31"
"Harrison School","80104104001","31"
"Harrison School","80104103923","32"
"Harrison School","80104104419","34"
"Harrison School","80104104005","35"
"Harrison School","80104104416","35"
"Harrison School","80104104418","35"
"Harrison School","80104104413","36"
"Harrison School","80104103927","38"
"Harrison School","80104104414","38"
"Harrison School","80104104008","39"
"Harrison School","80104104405","43"
"Harrison School","80104104007","44"
"Harrison School","80104104409","45"
"Harrison School","80104104411","45"
"Harrison School","80104104424","51"
"Harrison School","80104104401","59"
"Harrison School","80104104402","59"
"Harrison School","80104104404","61"
"Hawker College","80101100608","5"
"Hawker College","80101100616","5"
"Hawker College","80101101304","5"
"Hawker College","80101101305","5"
"Hawker College","80101101310","5"
"Hawker College","80101101407","5"
"Hawker College","80101101509","5"
"Hawker College","80101101706","5"
"Hawker College","80101101905","5"
"Hawker College","80101102606","5"
"Hawker College","80101102607","5"
"Hawker College","80101101907","6"
"Hawker College","80101101913","6"
"Hawker College","80101102605","6"
"Hawker College","80101101405","7"
"Hawker College","80101101503","7"
"Hawker College","80101101911","7"
"Hawker College","80101102402","7"
"Hawker College","80101101504","8"
"Hawker Primary School","80101102301","5"
"Hawker Primary School","80101102401","5"
"Hawker Primary School","80101101404","6"
"Hawker Primary School","80101101510","6"
"Hawker Primary School","80101102402","6"
"Hawker Primary School","80101101407","7"
"Hawker Primary School","80101102403","7"
"Hawker Primary School","80101102604","7"
"Hawker Primary School","80101101307","8"
"Hawker Primary School","80101102404","9"
"Hawker Primary School","80101102406","9"
"Hawker Primary School","80101101301","10"
"Hawker Primary School","80101102304","12"
"Hawker Primary School","80101102408","13"
"Hawker Primary School","80101101308","17"
"Hawker Primary School","80101101304","18"
"Hawker Primary School","80101101303","19"
"Hawker Primary School","80101101310","21"
"Hawker Primary School","80101101302","26"
"Hawker Primary School","80101101305","28"
"Hawker Primary School","80101101306","32"
"Hughes Primary School","80106107008","5"
"Hughes Primary School","80108109405","5"
"Hughes Primary School","80109110209","5"
"Hughes Primary School","80109111001","5"
"Hughes Primary School","80110113906","5"
"Hughes Primary School","80109110505","7"
"Hughes Primary School","80109109901","8"
"Hughes Primary School","80109110308","9"
"Hughes Primary School","80109110507","9"
"Hughes Primary School","80109110506","13"
"Hughes Primary School","80109110302","18"
"Hughes Primary School","80109110305","18"
"Hughes Primary School","80109110301","19"
"Hughes Primary School","80109110304","21"
"Hughes Primary School","80109110303","22"
"Hughes Primary School","80109110307","26"
"Hughes Primary School","80109110306","37"
"Kaleen Primary School","80101101609","5"
"Kaleen Primary School","80104104807","5"
"Kaleen Primary School","80101101603","6"
"Kaleen Primary School","80101102101","6"
"Kaleen Primary School","80104103711","7"
"Kaleen Primary School","80101101101","8"
"Kaleen Primary School","80101101619","11"
"Kaleen Primary School","80101101604","13"
"Kaleen Primary School","80101101607","13"
"Kaleen Primary School","80101101605","14"
"Kaleen Primary School","80101101611","21"
"Kaleen Primary School","80101101617","21"
"Kaleen Primary School","80101101612","24"
"Kaleen Primary School","80101101615","30"
"Kaleen Primary School","80101101616","31"
"Kaleen Primary School","80101101601","32"
"Kaleen Primary School","80101101606","33"
"Kaleen Primary School","80101101614","33"
"Kaleen Primary School","80101101613","34"
"Kaleen Primary School","80101101618","35"
"Kingsford Smith School","80101100602","5"
"Kingsford Smith School","80101100614","5"
"Kingsford Smith School","80101100617","5"
"Kingsford Smith School","80101101401","5"
"Kingsford Smith School","80101101905","5"
"Kingsford Smith School","80101101912","5"
"Kingsford Smith School","80101101916","5"
"Kingsford Smith School","80101100403","6"
"Kingsford Smith School","80101100604","6"
"Kingsford Smith School","80101100606","6"
"Kingsford Smith School","80101101302","6"
"Kingsford Smith School","80101101702","6"
"Kingsford Smith School","80101101904","6"
"Kingsford Smith School","80101101907","6"
"Kingsford Smith School","80101100612","7"
"Kingsford Smith School","80101100901","7"
"Kingsford Smith School","80101101915","7"
"Kingsford Smith School","80101101918","7"
"Kingsford Smith School","80101100406","8"
"Kingsford Smith School","80101100608","8"
"Kingsford Smith School","80101101506","8"
"Kingsford Smith School","80101101513","8"
"Kingsford Smith School","80101101902","8"
"Kingsford Smith School","80101101405","9"
"Kingsford Smith School","80101101707","9"
"Kingsford Smith School","80101100903","10"
"Kingsford Smith School","80101101910","10"
"Kingsford Smith School","80101101913","10"
"Kingsford Smith School","80101100605","11"
"Kingsford Smith School","80101101512","11"
"Kingsford Smith School","80101100622","12"
"Kingsford Smith School","80101101703","12"
"Kingsford Smith School","80101101911","14"
"Kingsford Smith School","80101100616","16"
"Kingsford Smith School","80101100623","17"
"Kingsford Smith School","80101101406","17"
"Kingsford Smith School","80101101508","18"
"Kingsford Smith School","80101101501","19"
"Kingsford Smith School","80101101503","19"
"Kingsford Smith School","80101101511","19"
"Kingsford Smith School","80101101502","21"
"Kingsford Smith School","80101101510","22"
"Kingsford Smith School","80101101515","25"
"Kingsford Smith School","80101101402","29"
"Kingsford Smith School","80101101509","29"
"Kingsford Smith School","80101101407","31"
"Kingsford Smith School","80101101404","32"
"Kingsford Smith School","80101101505","37"
"Kingsford Smith School","80101101504","38"
"Kingsford Smith School","80101101403","43"
"Lake Tuggeranong College","80107107104","5"
"Lake Tuggeranong College","80107107203","5"
"Lake Tuggeranong College","80107107205","5"
"Lake Tuggeranong College","80107107410","5"
"Lake Tuggeranong College","80107107413","5"
"Lake Tuggeranong College","80107107506","5"
"Lake Tuggeranong College","80107107510","5"
"Lake Tuggeranong College","80107107512","5"
"Lake Tuggeranong College","80107107702","5"
"Lake Tuggeranong College","80107107703","5"
"Lake Tuggeranong College","80107107705","5"
"Lake Tuggeranong College","80107107801","5"
"Lake Tuggeranong College","80107107813","5"
"Lake Tuggeranong College","80107107814","5"
"Lake Tuggeranong College","80107107816","5"
"Lake Tuggeranong College","80107107903","5"
"Lake Tuggeranong College","80107108109","5"
"Lake Tuggeranong College","80107108111","5"
"Lake Tuggeranong College","80107108206","5"
"Lake Tuggeranong College","80107108213","5"
"Lake Tuggeranong College","80107108236","5"
"Lake Tuggeranong College","80107108239","5"
"Lake Tuggeranong College","80107108417","5"
"Lake Tuggeranong College","80107108605","5"
"Lake Tuggeranong College","80107108701","5"
"Lake Tuggeranong College","80107108803","5"
"Lake Tuggeranong College","80107109009","5"
"Lake Tuggeranong College","80107107110","6"
"Lake Tuggeranong College","80107107206","6"
"Lake Tuggeranong College","80107107507","6"
"Lake Tuggeranong College","80107107803","6"
"Lake Tuggeranong College","80107107806","6"
"Lake Tuggeranong College","80107108203","6"
"Lake Tuggeranong College","80107108207","6"
"Lake Tuggeranong College","80107108706","6"
"Lake Tuggeranong College","80107108807","6"
"Lake Tuggeranong College","80107109015","6"
"Lake Tuggeranong College","80107107302","7"
"Lake Tuggeranong College","80107107516","7"
"Lake Tuggeranong College","80107108102","7"
"Lake Tuggeranong College","80107108108","7"
"Lake Tuggeranong College","80107107108","8"
"Lake Tuggeranong College","80107107208","8"
"Lake Tuggeranong College","80107107405","8"
"Lake Tuggeranong College","80107107407","8"
"Lake Tuggeranong College","80107107818","8"
"Lake Tuggeranong College","80107108601","8"
"Lake Tuggeranong College","80107108603","8"
"Lake Tuggeranong College","80107108705","8"
"Lake Tuggeranong College","80107109016","9"
"Lake Tuggeranong College","80107108809","10"
"Lake Tuggeranong College","80107107112","11"
"Lanyon High School","80107107102","5"
"Lanyon High School","80107107113","5"
"Lanyon High School","80107107803","5"
"Lanyon High School","80107107810","5"
"Lanyon High School","80107107814","5"
"Lanyon High School","80107107821","5"
"Lanyon High School","80107107108","6"
"Lanyon High School","80107107503","6"
"Lanyon High School","80107107504","6"
"Lanyon High School","80107107507","6"
"Lanyon High School","80107107801","6"
"Lanyon High School","80107107816","6"
"Lanyon High School","80107107820","6"
"Lanyon High School","80107107107","7"
"Lanyon High School","80107107505","7"
"Lanyon High School","80107107506","7"
"Lanyon High School","80107107114","8"
"Lanyon High School","80107107805","8"
"Lanyon High School","80107107806","8"
"Lanyon High School","80107107106","9"
"Lanyon High School","80107107109","9"
"Lanyon High School","80107107509","9"
"Lanyon High School","80107107811","9"
"Lanyon High School","80107107208","10"
"Lanyon High School","80107107516","11"
"Lanyon High School","80107107818","11"
"Lanyon High School","80107107510","13"
"Lanyon High School","80107107110","14"
"Latham Primary School","80101100616","5"
"Latham Primary School","80101101404","5"
"Latham Primary School","80101101406","5"
"Latham Primary School","80101101501","5"
"Latham Primary School","80101101708","8"
"Latham Primary School","80101101709","14"
"Latham Primary School","80101101705","15"
"Latham Primary School","80101101704","18"
"Latham Primary School","80101101706","20"
"Latham Primary School","80101101701","23"
"Latham Primary School","80101101703","28"
"Latham Primary School","80101101707","29"
"Latham Primary School","80101101702","34"
"Lyneham High School","80101100304","5"
"Lyneham High School","80101101001","5"
"Lyneham High School","80101101604","5"
"Lyneham High School","80101101615","5"
"Lyneham High School","80104103704","5"
"Lyneham High School","80105105602","5"
"Lyneham High School","80105105703","5"
"Lyneham High School","80105105803","5"
"Lyneham High School","80105106107","5"
"Lyneham High School","80101100709","6"
"Lyneham High School","80101101103","6"
"Lyneham High School","80101101601","6"
"Lyneham High School","80101101616","6"
"Lyneham High School","80104104416","6"
"Lyneham High School","80104104802","6"
"Lyneham High School","80105105601","6"
"Lyneham High School","80105105704","6"
"Lyneham High School","80105105705","6"
"Lyneham High School","80105105715","6"
"Lyneham High School","80105105805","6"
"Lyneham High School","80105106106","6"
"Lyneham High School","80105106111","6"
"Lyneham High School","80105106113","6"
"Lyneham High School","80101101611","7"
"Lyneham High School","80101102101","7"
"Lyneham High School","80104104811","7"
"Lyneham High School","80105105501","7"
"Lyneham High School","80105105504","7"
"Lyneham High School","80105105709","7"
"Lyneham High School","80105105812","7"
"Lyneham High School","80101101606","8"
"Lyneham High School","80105105401","8"
"Lyneham High School","80105105605","8"
"Lyneham High School","80105105701","8"
"Lyneham High School","80105105702","8"
"Lyneham High School","80105105806","8"
"Lyneham High School","80105105810","8"
"Lyneham High School","80105106109","8"
"Lyneham High School","80105106119","8"
"Lyneham High School","80105105404","9"
"Lyneham High School","80105105503","9"
"Lyneham High School","80105105811","9"
"Lyneham High School","80105106006","9"
"Lyneham High School","80105106101","9"
"Lyneham High School","80105106115","9"
"Lyneham High School","80105105406","10"
"Lyneham High School","80105105502","10"
"Lyneham High School","80105105507","11"
"Lyneham High School","80105105809","11"
"Lyneham High School","80105106110","11"
"Lyneham High School","80105106112","11"
"Lyneham High School","80105105506","12"
"Lyneham High School","80105105804","12"
"Lyneham High School","80105105713","13"
"Lyneham High School","80105105802","13"
"Lyneham High School","80105106108","13"
"Lyneham High School","80105105711","14"
"Lyneham High School","80105105714","14"
"Lyneham High School","80105105808","14"
"Lyneham High School","80105105508","16"
"Lyneham High School","80105105807","16"
"Lyneham High School","80105105509","18"
"Lyneham High School","80105105708","20"
"Lyneham High School","80105105801","26"
"Lyneham Primary School","80105105508","5"
"Lyneham Primary School","80105105503","6"
"Lyneham Primary School","80105105704","7"
"Lyneham Primary School","80105105804","7"
"Lyneham Primary School","80105105812","7"
"Lyneham Primary School","80105105501","8"
"Lyneham Primary School","80105105709","8"
"Lyneham Primary School","80105105801","8"
"Lyneham Primary School","80105105712","9"
"Lyneham Primary School","80105105715","9"
"Lyneham Primary School","80105105504","10"
"Lyneham Primary School","80105105802","10"
"Lyneham Primary School","80105105803","11"
"Lyneham Primary School","80105105809","11"
"Lyneham Primary School","80105105705","13"
"Lyneham Primary School","80105105806","15"
"Lyneham Primary School","80105105701","17"
"Lyneham Primary School","80105105703","18"
"Lyneham Primary School","80105105805","18"
"Lyneham Primary School","80105105702","19"
"Lyneham Primary School","80105105711","19"
"Lyneham Primary School","80105105714","19"
"Lyneham Primary School","80105105807","20"
"Lyneham Primary School","80105105708","21"
"Lyneham Primary School","80105105808","24"
"Lyneham Primary School","80105105713","43"
"Lyons Early Childhood School","80109110506","5"
"Lyons Early Childhood School","80109110901","5"
"Lyons Early Childhood School","80109110507","8"
"Lyons Early Childhood School","80109110502","9"
"Lyons Early Childhood School","80109110505","11"
"Macgregor Primary School","80101100615","5"
"Macgregor Primary School","80101102303","5"
"Macgregor Primary School","80101100604","6"
"Macgregor Primary School","80101100610","6"
"Macgregor Primary School","80101100611","6"
"Macgregor Primary School","80101100616","7"
"Macgregor Primary School","80101101502","7"
"Macgregor Primary School","80101100614","8"
"Macgregor Primary School","80101101906","12"
"Macgregor Primary School","80101101914","16"
"Macgregor Primary School","80101101915","18"
"Macgregor Primary School","80101101916","18"
"Macgregor Primary School","80101101919","18"
"Macgregor Primary School","80101101917","20"
"Macgregor Primary School","80101101918","20"
"Macgregor Primary School","80101101908","21"
"Macgregor Primary School","80101101910","21"
"Macgregor Primary School","80101101911","21"
"Macgregor Primary School","80101101909","25"
"Macgregor Primary School","80101101907","32"
"Macgregor Primary School","80101101902","33"
"Macgregor Primary School","80101101913","33"
"Macgregor Primary School","80101101905","34"
"Macgregor Primary School","80101101912","35"
"Macgregor Primary School","80101101904","39"
"Macquarie Primary School","80101100211","5"
"Macquarie Primary School","80101100208","6"
"Macquarie Primary School","80101101616","6"
"Macquarie Primary School","80101100206","7"
"Macquarie Primary School","80101102004","13"
"Macquarie Primary School","80101100202","14"
"Macquarie Primary School","80101100501","14"
"Macquarie Primary School","80101100201","16"
"Macquarie Primary School","80101102008","18"
"Macquarie Primary School","80101102002","19"
"Macquarie Primary School","80101102007","19"
"Macquarie Primary School","80101102005","20"
"Macquarie Primary School","80101102006","20"
"Macquarie Primary School","80101102003","23"
"Macquarie Primary School","80101100209","24"
"Macquarie Primary School","80101100509","27"
"Macquarie Primary School","80101102001","27"
"Majura Primary School","80105105504","6"
"Majura Primary School","80105105602","6"
"Majura Primary School","80105105604","6"
"Majura Primary School","80105105503","7"
"Majura Primary School","80105105601","7"
"Majura Primary School","80105105607","7"
"Majura Primary School","80105105509","11"
"Majura Primary School","80105105605","11"
"Majura Primary School","80105105506","12"
"Majura Primary School","80105106116","12"
"Majura Primary School","80105105501","14"
"Majura Primary School","80105105505","16"
"Majura Primary School","80105106114","16"
"Majura Primary School","80105106107","17"
"Majura Primary School","80105106113","18"
"Majura Primary School","80105105507","21"
"Majura Primary School","80105105508","21"
"Majura Primary School","80105106102","22"
"Majura Primary School","80105106103","22"
"Majura Primary School","80105106119","22"
"Majura Primary School","80105105502","24"
"Majura Primary School","80105106101","24"
"Majura Primary School","80105106106","24"
"Majura Primary School","80105106115","24"
"Majura Primary School","80105106111","28"
"Majura Primary School","80105106108","29"
"Majura Primary School","80105106112","33"
"Majura Primary School","80105106110","39"
"Majura Primary School","80105106109","43"
"Maribyrnong Primary School","80101101606","5"
"Maribyrnong Primary School","80104103914","5"
"Maribyrnong Primary School","80101100312","6"
"Maribyrnong Primary School","80101102506","6"
"Maribyrnong Primary School","80101100309","7"
"Maribyrnong Primary School","80101101602","7"
"Maribyrnong Primary School","80101101607","9"
"Maribyrnong Primary School","80101101804","10"
"Maribyrnong Primary School","80101100320","11"
"Maribyrnong Primary School","80101101605","14"
"Maribyrnong Primary School","80101101610","14"
"Maribyrnong Primary School","80101101803","14"
"Maribyrnong Primary School","80101100304","18"
"Maribyrnong Primary School","80101101609","18"
"Maribyrnong Primary School","80101101619","19"
"Maribyrnong Primary School","80101101603","20"
"Maribyrnong Primary School","80101101604","25"
"Maribyrnong Primary School","80101101611","26"
"Mawson Primary School","80109110401","5"
"Mawson Primary School","80109110913","5"
"Mawson Primary School","80109110807","6"
"Mawson Primary School","80109110912","6"
"Mawson Primary School","80109110905","7"
"Mawson Primary School","80109110402","10"
"Mawson Primary School","80109110606","10"
"Mawson Primary School","80109110701","12"
"Mawson Primary School","80109110702","12"
"Mawson Primary School","80109110907","12"
"Mawson Primary School","80109110604","13"
"Mawson Primary School","80109110607","13"
"Mawson Primary School","80109110906","16"
"Mawson Primary School","80109110910","16"
"Mawson Primary School","80109110605","18"
"Mawson Primary School","80109110908","18"
"Mawson Primary School","80109110602","22"
"Mawson Primary School","80109110603","24"
"Mawson Primary School","80109110601","38"
"Melba Copland Secondary School","80101100708","5"
"Melba Copland Secondary School","80101100709","5"
"Melba Copland Secondary School","80101100802","5"
"Melba Copland Secondary School","80101100905","5"
"Melba Copland Secondary School","80101101706","5"
"Melba Copland Secondary School","80101102104","5"
"Melba Copland Secondary School","80101100401","6"
"Melba Copland Secondary School","80101100605","6"
"Melba Copland Secondary School","80101100606","6"
"Melba Copland Secondary School","80101100612","6"
"Melba Copland Secondary School","80101100620","6"
"Melba Copland Secondary School","80101100706","6"
"Melba Copland Secondary School","80101100904","6"
"Melba Copland Secondary School","80101100907","6"
"Melba Copland Secondary School","80101101909","6"
"Melba Copland Secondary School","80101102102","6"
"Melba Copland Secondary School","80101102203","6"
"Melba Copland Secondary School","80101102206","6"
"Melba Copland Secondary School","80101100604","7"
"Melba Copland Secondary School","80101100616","7"
"Melba Copland Secondary School","80101100623","7"
"Melba Copland Secondary School","80101100701","7"
"Melba Copland Secondary School","80101101002","7"
"Melba Copland Secondary School","80101101908","7"
"Melba Copland Secondary School","80101102202","7"
"Melba Copland Secondary School","80101102204","7"
"Melba Copland Secondary School","80101102505","7"
"Melba Copland Secondary School","80101100403","8"
"Melba Copland Secondary School","80101100618","8"
"Melba Copland Secondary School","80101100910","8"
"Melba Copland Secondary School","80101100409","9"
"Melba Copland Secondary School","80101100712","9"
"Melba Copland Secondary School","80101101001","9"
"Melba Copland Secondary School","80101102207","9"
"Melba Copland Secondary School","80101102503","9"
"Melba Copland Secondary School","80101100609","10"
"Melba Copland Secondary School","80101100703","10"
"Melba Copland Secondary School","80101102504","10"
"Melba Copland Secondary School","80101100711","11"
"Melba Copland Secondary School","80101100713","11"
"Melba Copland Secondary School","80101100404","12"
"Melba Copland Secondary School","80101101005","14"
"Melba Copland Secondary School","80101102205","14"
"Melba Copland Secondary School","80101100406","16"
"Melba Copland Secondary School","80101100405","20"
"Melrose High School","80107107208","5"
"Melrose High School","80107107303","5"
"Melrose High School","80107108223","5"
"Melrose High School","80107108235","5"
"Melrose High School","80107108402","5"
"Melrose High School","80107109011","5"
"Melrose High School","80108109201","5"
"Melrose High School","80109109904","5"
"Melrose High School","80109110101","5"
"Melrose High School","80109110401","5"
"Melrose High School","80109110601","5"
"Melrose High School","80109110606","5"
"Melrose High School","80109111001","5"
"Melrose High School","80107107409","6"
"Melrose High School","80107107701","6"
"Melrose High School","80107108417","6"
"Melrose High School","80107109002","6"
"Melrose High School","80109109901","6"
"Melrose High School","80109110102","6"
"Melrose High School","80109110104","6"
"Melrose High School","80109110109","6"
"Melrose High School","80109111002","6"
"Melrose High School","80109110403","7"
"Melrose High School","80109110603","7"
"Melrose High School","80109110702","7"
"Melrose High School","80109111006","7"
"Melrose High School","80107108213","8"
"Melrose High School","80109110105","8"
"Melrose High School","80109110107","8"
"Melrose High School","80109110602","8"
"Melrose High School","80109110604","8"
"Melrose High School","80109111005","8"
"Melrose High School","80107109003","9"
"Melrose High School","80107109010","9"
"Melrose High School","80109110110","9"
"Melrose High School","80109110805","10"
"Melrose High School","80107109014","12"
"Melrose High School","80109111004","13"
"Miles Franklin Primary School","10106154223","5"
"Miles Franklin Primary School","10106154235","5"
"Miles Franklin Primary School","80101100907","5"
"Miles Franklin Primary School","80101102201","5"
"Miles Franklin Primary School","80101102202","5"
"Miles Franklin Primary School","80101102204","5"
"Miles Franklin Primary School","80101102504","5"
"Miles Franklin Primary School","10106154224","6"
