"School","SA1","No. of Students"
"Arawang Primary School","80108109809","14"
"Arawang Primary School","80108109708","15"
"Arawang Primary School","80108109706","16"
"Arawang Primary School","80108109305","22"
"Arawang Primary School","80108109701","25"
"Arawang Primary School","80108109702","25"
"Arawang Primary School","80108109703","27"
"Arawang Primary School","80108109302","29"
"Arawang Primary School","80108109304","29"
"Arawang Primary School","80108109707","29"
"Arawang Primary School","80108109306","41"
"Belconnen High School","80101100405","5"
"Belconnen High School","80101100609","5"
"Belconnen High School","80101100612","5"
"Belconnen High School","80101100803","5"
"Belconnen High School","80101100811","5"
"Belconnen High School","80101101301","5"
"Belconnen High School","80101101706","5"
"Belconnen High School","80101101911","5"
"Belconnen High School","80101101913","5"
"Belconnen High School","80101102306","5"
"Belconnen High School","80101102406","5"
"Belconnen High School","10106154217","6"
"Belconnen High School","80101101304","6"
"Belconnen High School","80101101305","6"
"Belconnen High School","80101101308","6"
"Belconnen High School","80101101702","6"
"Belconnen High School","80101100616","7"
"Belconnen High School","80101101302","7"
"Belconnen High School","80101101303","7"
"Belconnen High School","80101101306","7"
"Belconnen High School","80101102301","7"
"Belconnen High School","80101102603","7"
"Belconnen High School","80101101503","8"
"Belconnen High School","80101102304","8"
"Belconnen High School","80101100406","9"
"Belconnen High School","80101101310","10"
"Belconnen High School","80101102402","10"
"Belconnen High School","80101102404","10"
"Bonython Primary School","80107107303","5"
"Bonython Primary School","80107107818","5"
"Bonython Primary School","80107108106","5"
"Bonython Primary School","80107108112","5"
"Bonython Primary School","80107108101","6"
"Bonython Primary School","80107108103","7"
"Bonython Primary School","80107108109","7"
"Bonython Primary School","80107107211","9"
"Bonython Primary School","80107108105","9"
"Bonython Primary School","80107107206","15"
"Bonython Primary School","80107107210","16"
"Bonython Primary School","80107107202","19"
"Bonython Primary School","80107107205","19"
"Bonython Primary School","80107107207","23"
"Bonython Primary School","80107107203","24"
"Bonython Primary School","80107107204","25"
"Bonython Primary School","80107107208","28"
"Calwell High School","10102101129","5"
"Calwell High School","80107107301","5"
"Calwell High School","80107107303","5"
"Calwell High School","80107107313","5"
"Calwell High School","80107108103","5"
"Calwell High School","80107108415","5"
"Calwell High School","80107108705","5"
"Calwell High School","80107108706","5"
"Calwell High School","80107108804","5"
"Calwell High School","80107107304","6"
"Calwell High School","80107107307","6"
"Calwell High School","80107107406","6"
"Calwell High School","80107108701","6"
"Calwell High School","80107108702","6"
"Calwell High School","80107108703","6"
"Calwell High School","80107108802","6"
"Calwell High School","80107107302","7"
"Calwell High School","80107107311","7"
"Calwell High School","80107108809","7"
"Calwell High School","80107108810","7"
"Calwell High School","80107107312","8"
"Calwell High School","80107107316","8"
"Calwell High School","80107108104","8"
"Calwell High School","80107108801","8"
"Calwell High School","80107108808","8"
"Calwell High School","80107108806","10"
"Calwell High School","80107107309","11"
"Calwell High School","80107108805","12"
"Calwell High School","80107108807","15"
"Calwell Primary School","80107107313","5"
"Calwell Primary School","80107107302","6"
"Calwell Primary School","80107107317","6"
"Calwell Primary School","80107108105","6"
"Calwell Primary School","80107108703","6"
"Calwell Primary School","80107107314","7"
"Calwell Primary School","80107107312","9"
"Calwell Primary School","80107107316","10"
"Calwell Primary School","80107107308","11"
"Calwell Primary School","80107107301","12"
"Calwell Primary School","80107107303","12"
